Will Smith,M,Cinema
Johnny Depp,M,Cinema
Denzel Washington,M,Cinema
Brad Pitt,M,Cinema
Matt Damon,M,Cinema
Clint Eastwood,M,Cinema
Angelina Jolie,F,Cinema
Meryl Streep,F,Cinema
George Clooney,M,Cinema
Sandra Bullock,F,Cinema
Mark Wahlberg,M,Cinema
Leonardo DiCaprio,M,Cinema
Daniel Radcliffe,M,Cinema
Tom Cruise,M,Cinema
Jennifer Lawrence,F,Cinema
Liam Neeson,M,Cinema
Emma Stone,F,Cinema
Christian Bale,M,Cinema
Shia LaBeouf,M,Cinema
Chris Hemsworth,M,Cinema
Steve Carell,M,Cinema
Channing Tatum,M,Cinema
Adam Sandler,M,Cinema
Bruce Willis,M,Cinema
Ben Stiller,M,Cinema
Rachel McAdams,F,Cinema
Dwayne Johnson,M,Cinema
Cameron Diaz,F,Cinema
Zach Galifianakis,M,Cinema
Hugh Jackman,M,Cinema
Jason Statham,M,Cinema
Vin Diesel,M,Cinema
Natalie Portman,F,Cinema
Tom Hanks,M,Cinema
Ryan Gosling,M,Cinema
Tina Fey,F,Cinema
Kristen Stewart,F,Cinema
Matthew McConaughey,M,Cinema
Daniel Craig,M,Cinema
Reese Witherspoon,F,Cinema
Julia Roberts,F,Cinema
Jonah Hill,M,Cinema
Jennifer Aniston,F,Cinema
Amy Adams,F,Cinema
Will Ferrell,M,Cinema
Bradley Cooper,M,Cinema
Ben Affleck,M,Cinema
Daniel Day,M,Cinema
Taylor Lautner,M,Cinema
Jim Carrey,M,Cinema
Robert De Niro,M,Cinema
Jason Segel,M,Cinema
Jeff Bridges,M,Cinema
Vince Vaughn,M,Cinema
Jeremy Renner,M,Cinema
Seth Rogen,M,Cinema
Russell Crowe,M,Cinema
Mila Kunis,F,Cinema
Robert Pattinson,M,Cinema
Kevin James,M,Cinema
Katherine Heigl,F,Cinema
Owen Wilson,M,Cinema
Cate Blanchett,F,Cinema
Jaden Smith,M,Cinema
Tyler Perry,M,Cinema
Anne Hathaway,F,Cinema
Gerard Butler,M,Cinema
Sacha Baron Cohen,M,Cinema
Chris Pine,M,Cinema
Scarlett Johansson,F,Cinema
Kate Winslet,F,Cinema
Sam Worthington,M,Cinema
Ryan Reynolds,M,Cinema
Sylvester Stallone,M,Cinema
Justin Timberlake,M,Cinema
James Franco,M,Cinema
Colin Firth,M,Cinema
Sean Penn,M,Cinema
Charlize Theron,F,Cinema
Jason Bateman,M,Cinema
Kristen Wiig,F,Cinema
Andrew Garfield,M,Cinema
Melissa McCarthy,F,Cinema
Paul Rudd,M,Cinema
Zac Efron,M,Cinema
Gwyneth Paltrow,F,Cinema
Jake Gyllenhaal,M,Cinema
Chris Evans,M,Cinema
Kate Beckinsale,F,Cinema
Julianne Moore,F,Cinema
Blake Lively,F,Cinema
Tom Hardy,M,Cinema
Michael Fassbender,M,Cinema
Jamie Foxx,M,Cinema
Joseph Gordon-Levitt,M,Cinema
Keanu Reeves,M,Cinema
Jennifer Garner,F,Cinema
Keira Knightley,F,Cinema
Zoe Saldana,F,Cinema
