Mary Roach,F,TED
Jill Bolte Taylor,F,TED
Dan Pink,M,TED
Pamela Meyer,F,TED
Shawn Achor,M,TED
David Gallo,M,TED
Dan Gilbert,M,TED
Helen Fisher,F,TED
Stephen Hawking,M,TED
Russell Foster,M,TED
Alexander Tsiaras,M,TED
Jane McGonigal,F,TED
Michael Shermer,M,TED
Beau Lotto,M,TED
Jack Andraka,M,TED
Dan Ariely,M,TED
Ron Gutman,M,TED
Joshua Foer,M,TED
Judson Brewer,M,TED
Helen Fisher,F,TED
Richard Dawkins,M,TED
Greg Gage,M,TED
William Li,M,TED
Temple Grandin,F,TED
Martin Seligman,M,TED
Bill Gates,M,TED
Brian Greene,M,TED
Vilayanur Ramachandran,M,TED
Paul Stamets,M,TED
Steven Johnson,M,TED
Diane Kelly,F,TED
Daniel Kahneman,M,TED
Jeff Iliff,M,TED
Frans de Waal,M,TED
Al Gore,M,TED
Sandrine Thuret,F,TED
Aubrey de Grey,M,TED
Taylor Wilson,M,TED
Brian Cox,M,TED
Sam Harris,M,TED
Elizabeth Loftus,F,TED
Juan Enriquez,M,TED
Brian Greene,M,TED
Dan Buettner,M,TED
Rebecca Saxe,F,TED
Kamal Meattle,M,TED
Matt Mills,M,TED
Tamara Roukaerts,F,TED
Bill Gates,M,TED
Richard Dawkins,M,TED
Carolyn Porco,F,TED
Dan Ariely,M,TED
Jack Horner,M,TED
Sebastian Thrun,M,TED
Boaz Almog,M,TED
Christopher McDougall,M,TED
James Randi,M,TED
Randall Munroe,M,TED
Ray Kurzweil,M,TED
Patricia Kuhl,F,TED
Michael Shermer,M,TED
Marla Spivak,F,TED
Ramsey Musallam,M,TED
Genevieve von Petzinger,F,TED
Clifford Stoll,M,TED
Sophie Scott,F,TED
Ben Goldacre,M,TED
Dean Ornish,M,TED
Eric Giler,M,TED
Bonnie Bassler,F,TED
Donald Hoffman,M,TED
Ben Goldacre,M,TED
Martin Rees,M,TED
Wendy Chung,F,TED
Phil Plait,M,TED
Sarah-Jayne Blakemore,F,TED
Alex Wissner-Gross,M,TED
Peter Doolittle,M,TED
Joi Ito,M,TED
Paul Bloom,M,TED
Harry Cliff,M,TED
Dennis Hong,M,TED
Melissa Marshall,F,TED
John Hodgman,M,TED
Vilayanur Ramachandran,M,TED
Tali Sharot,F,TED
Nick Veasey,M,TED
Jessa Gamble,F,TED
Juan Enriquez,M,TED
Steven Pinker,M,TED
Jocelyne Bloch,F,TED
Emily Levine,F,TED
Jim Fallon,M,TED
Christopher Emdin,M,TED
Michael Specter,M,TED
Latif Nasser,M,TED
Fabian Oefner,M,TED
Stuart Firestein,M,TED
Carl Safina,F,TED
Janine Benyus,F,TED
Elliot Krane,M,TED
Marco Tempest,M,TED
Daniel Wolpert,M,TED
Anthony Atala,M,TED
David Gruber,M,TED
Danielle Feinberg,F,TED
Al Gore,M,TED
David Bolinsky,M,TED
Carter Emmart,M,TED
